categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Beauty & Spas,Massage","What You'll Get,Choose Between Two Options,$39 for 60-Minute Acupressure Massage ($60 value),$99 for Three 60-Minute Acupressure Massages ($180 value)",Gong Fu Spa,"Limited Time Remaining!,60+ viewed today,410 Ratings",One or Three 60-Minute Acupressure Massages at Gong Fu Spa (Up to 45% Off),Chelsea,New York,410 Ratings,https://www.groupon.com/deals/gong-fu-spa
"Local,Health & Fitness,Vision,Eye Exam","What You'll Get,The Deal,$35 for an eye exam and $385 value towards a complete pair of designer frames with lenses (a $435 total value),Eye Charts: The Writing on the Wall,Part of your vision test will include a glance at the all-too-familiar eye chart. Read on to learn the philosophy and history behind those shrinking letters.,According to the,Seattle Times,, the best-selling poster in the United States isn’t of Indiana Jones or the cover to Pink Floyd’s,Generic World Map,. It’s the eye chart, those iconic rows of decreasingly sized letters that grace optometrists’ offices throughout the country. Aesthetics aside, the ubiquitous chart primarily tests visual acuity, which the,American Optometric Association,summarizes as “the clarity or sharpness of vision.” Patients typically stand around 20 feet from the wall, cover one eye, and identify the smallest row of letters they can individually distinguish. Commonly, this boils patients’ visual acuities down to a fraction in which the denominator represents how many feet away a person of normal visual acuity could stand while still discerning the letters with the same level of clarity as the patient. In other words, 20/40 vision means the patient needs to stand 20 feet away to make out the same size letters as a person with standard vision can from 40 feet.,These fractions were the brainchild of Herman Snellen, a Dutch ophthalmologist who designed the first popular rendition of an eye chart in the 1860s. The original versions of Snellen’s chart included nine letters—C, D, E, F, L, O, P, T, and Z—as,optotypes,—a term for standardized symbols used to test vision. However, there was room for improvement in Snellen’s design; the spacing wasn’t quite standardized, and different versions incorporated serif as well as sans serif fonts. Over the years, the Snellen chart has adopted more uniform spacing and cleaner optotypes, and a few alternatives have sprung up for use in other settings. For instance, scientists prefer a chart designed by two Australian optometrists for its logarithmic progression of letter size, and one variation simply orients the single letter ‘E’ in different directions, making the test easier for patients who are illiterate or unfamiliar with the Roman alphabet.,For all their value, eye charts are still only capable of assessing visual acuity, not vision in general. Full eye exams almost invariably include a staring contest with an eye chart, but optometrists also use different tools to test everything from peripheral awareness and depth perception to focusing ability and color vision.",Cohen's Fashion Optical,"Limited Time Remaining!,50+ viewed today,41 Ratings",Eye Exam with $385 Credit Towards Complete Designer Frames with Lenses (92% Off),Cohen's Fashion Optical,New York,41 Ratings,https://www.groupon.com/deals/cohen-s-fashion-optical-660-lexington-ave-1
"Local,Health & Fitness,Medical","What You'll Get,Choose from Five Options,$39 for one whole-body cryotherapy session ($90 value),$99 for three whole-body cryotherapy sessions ($225 value),$23 for one cryo-facial treatment ($45 value),$57 for three cryo-facial treatments ($135 value),$59 for one whole-body treatment and one facial treatment ($130 value)",Cryo Guru,"Limited Time Remaining!,450+ viewed today,635 Ratings",Cryotherapy Sessions at Cryo Guru (Up to 58% Off). Five Options Available.,Cryo Guru,New York,635 Ratings,https://www.groupon.com/deals/cryo-guru-2
"Local,Health & Fitness,Vision","What You'll Get,Choice of:,One Eye Exam and $325 Value Towards Frames and Eyeglass Lenses,One Contact Lens Exam with a Trial Pair of Contact Lenses and 10% Off Contact Lens",Cohen's Fashion Optical,"Limited Time Remaining!,30+ viewed today,31 Ratings",Optical Packages at Cohen's Fashion Optical (Up to 95% Off). Two Options Available.,Midtown Manhattan,New York,31 Ratings,https://www.groupon.com/deals/cohens-fashion-optical-1-5
"Local,Health & Fitness,Vision,Eye Exam","What You'll Get,The Deal,$19 for an eye exam with contact lens fitting and $225 towards prescription glasses ($349 value)",Community Optical,"Limited Time Remaining!,70+ viewed today,497 Ratings",$19 for an Eye Exam with Contact Lens Fitting and $225 Towards Glasses at Community Optical ($349 Value),Carroll Gardens,New York,497 Ratings,https://www.groupon.com/deals/community-optical-4
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose Between Two Options,$29 for one,Brazilian wax,($69 value),$75 for three Brazilian waxes ($207 value),Hair Growth: It’s Just a Phase,Waxing works because the hair on our body grows differently than the hair on our heads. Check out Groupon's guide to hair growth to learn the science behind strands.,Hair varies in thickness and length across our body, from the head's massive jungle to the knuckles' tiny brambles. But regardless of where it is, each strand of hair cycles through three phases: anagen, also known as the active growth phase; catagen, or transitional phase; and telogen, or resting phase. During the growth phase, a new hair shaft sprouts from a follicle as its cells rapidly divide and grow upward, forming tightly packed bundles rich with keratin protein. Next, the transition phase kicks in for about two to three weeks, during which growth stops and the outer root sheath shrinks, anchoring the hair to the follicle as it enters the final phase. At that point, the follicle lies dormant until the hair is shed and the cycle begins again.,Not all hair grows at the same rate. On the scalp, hair grows about 6 inches per year, with each strand spending about two to six years in the active phase. Meanwhile, hair on the arms, legs, eyelids, and eyebrows actively grows for a much shorter period—only about 30–45 days—and spends more time in the resting phase, which is why waxing these areas helps curb unwanted hair growth. Humans need removal methods such as waxing because we don't shed our hair all at once like other mammals; our hair-growth cycles are random and staggered, whereas other animals' cycles are mostly synchronized.",Organic Element Spa NY,"Limited Time Remaining!,60+ viewed today,1,534 Ratings",One or Three Brazilian Waxes at Organic Element Spa NY (Up to 64% Off),Midtown Manhattan,New York,"1,534 Ratings",https://www.groupon.com/deals/organic-element-spa-ny-1
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choice of:,Real Look Synthetic Silk Eyelash Extensions (Up to 70 Lashes Per Eye),Natural Look Synthetic Silk Eyelash Extensions (Up yo 90 Lashes Per Eye)",Red And White Spa Midtown,"Limited Time Remaining!,100+ viewed today,279 Ratings",Real or Natural Look Synthetic Silk Eyelash Extensions at Red And White Spa Midtown (Up to 69% Off),Midtown East,New York,279 Ratings,https://www.groupon.com/deals/red-and-white-spa-39-west-56th-street-16
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,Choice of:,All You Can Eat Lunch for One and One Drink,All You Can Eat Dinner for One and One Drink,All You Can Eat Lunch for Two and Two Drinks,All You Can Eat Lunch for Four and Four Drinks,All You Can Eat Dinner for Two and Two Drinks,All You Can Eat Dinner for Four and Four Drinks,See the,menu",Oishi Village Sushi,"Limited Time Remaining!,Selling fast!,684 Ratings",All-You-Can-Eat Lunch or Dinner with Drinks at Oishi Village Sushi (Up to 34% Off). Six Options Available.,East Village,New York,684 Ratings,https://www.groupon.com/deals/oishi-village-sushi
"Local,Health & Fitness,Natural Medicine","What You'll Get,Choose Between Two Options,$24 for one cupping session ($50 value),$49 for three cupping sessions ($150 value)",Manhattan Wellness Group,"Limited Time Remaining!,40+ viewed today,439 Ratings",One or Three Cupping Sessions at Manhattan Wellness Group (Up to 67% Off),Multiple Locations,New York,439 Ratings,https://www.groupon.com/deals/manhattan-wellness-group-1-4
"Local,Health & Fitness,Vision,Eye Exam","What You'll Get,Without glasses, people with bad eyesight could never drive a car or tell the difference between a banana and a disgusting fuzzy banana. Sharpen your senses with this voucher.,Choose Between Two Options,$19 for an eye exam and $200 toward a complete pair of prescription eyeglasses ($260 value),$49 for a standard contact-lens exam ($110 value)",Cohen's Fashion Optical,"Limited Time Remaining!,60+ viewed today,193 Ratings",Exam and $200 Toward Prescription Glasses or Contact-Lens Exam at Cohen’s Fashion Optical (Up to 93% Off),Chelsea,New York,193 Ratings,https://www.groupon.com/deals/cohen-s-fashion-optical-west-side
"Local,Beauty & Spas,Salons,Nail Salons","What You'll Get,Choose Between Two Options,$21 for a regular mani-pedi ($28 value),$31 for a gel manicure and a basic pedicure ($44 value)",Just For You Nail Spa,"Limited Time Remaining!,200+ viewed today,430 Ratings",Regular or Gel Mani-Pedi at Just For You Nail Spa (Up to 30% Off),New York,New York,430 Ratings,https://www.groupon.com/deals/just-for-you-nail-spa
"Local,Beauty & Spas,Massage,Full Body Massage","What You'll Get,Choose from Four Options,$39 for one 50-minute Swedish massage ($120 value),$49 for one 50-minute deep-tissue or aromatherapy massage ($135 value),$89 for two 50-minute Swedish massages ($240 value),$99 for two 50-minute deep-tissue or aromatherapy massages ($270 value),Click,here,to view the offer for eyelash extensions.",Blondi's Spa,"Limited Time Remaining!,200+ viewed today,652 Ratings","One or Two 50-Minute Swedish, Deep-Tissue, or Aromatherapy Massages at Blondi's Spa (Up to 68% Off)",Upper West Side,New York,652 Ratings,https://www.groupon.com/deals/blondi-s-spa
"Local,Health & Fitness,Natural Medicine,Acupuncture","What You'll Get,The Deal,$36 for an acupuncture assessment and treatment ($250 value),Acupuncture Meridians: Mapping the Body Electric,In choosing which points to stimulate, your acupuncturist will be guided by a network of meridians running through the body. Begin to navigate these pathways with Groupon’s exploration of acupuncture meridians.,Like currents in the air, acupuncture meridians—as postulated by traditional Chinese medicine—are invisible paths of action in the body. Acupuncture theory holds that a person’s life force, or chi, flows along specific channels from organ to organ. When chi becomes unbalanced or blocked, health and wellness problems arise, such as digestive trouble or a bicep that looks like a creepy face when you flex. It’s the acupuncturist’s job to unblock chi by inserting thin needles into carefully chosen points along these pathways.,Twelve primary meridians flow through the body, each categorized as yin or yang (roughly defined as the passive and active forces within nature). Each meridian corresponds to a specific organ, element, and set of emotions. For instance, the lung meridian flows through the arm and is associated with yin and metal; should its flow of energy be disturbed, feelings of grief and sadness may manifest. For each condition an acupuncturist seeks to assuage, a timetable dictates when each meridian is most active and therefore easiest to treat. With so many complexities to keep in mind, it’s easy to understand why acupuncturists must undertake thousands of hours of coursework to become licensed.,So far, doctors and scientists have had little luck mapping meridians to visible anatomical structures, but some studies have uncovered overlap between ancient and modern medicine. For example, meridians tend to fall along planes between muscles, or between a muscle and bone or tendon—areas usually rich with connective tissue. A 2010,study,published in,PLOS One,made one further connection: bands of collagenous tissue, in particular, present less opposition to the flow of electricity than other areas of the body. These bands underlie some—though not all—primary meridians, suggesting that the energy known as chi may be related in some way to the energy that zips through our power lines and singing toothbrushes.",Columbus Circle Acupuncture Wellness,"Limited Time Remaining!,30+ viewed today,164 Ratings",$36 for an Acupuncture Assessment and Treatment at Columbus Circle Acupuncture Wellness ($250 Value),Columbus Circle Acupuncture Wellness,New York,164 Ratings,https://www.groupon.com/deals/bravo-texas-acupuncture-wellness-1
"Local,Health & Fitness,Natural Medicine,Chiropractor","What You'll Get,Choice of:,One Complete Wellness Package with a Chiropractic Exam and Two Adjustments,One Complete Wellness Package with a Chiropractic Exam and Four Adjustments,One Complete Wellness Package with a Chiropractic Exam and Eight Adjustments,Includes:,Exam with postural analysis and traction table,X-Rays (if necessary),Adjustments","Dr. John Ward
","Limited Time Remaining!,100+ viewed today,353 Ratings",Complete Wellness Packages at Dr. John Ward (Up to 96% Off),Midtown East,New York,353 Ratings,https://www.groupon.com/deals/dr-john-ward
"Local,Health & Fitness,Natural Medicine,Acupuncture","What You'll Get,Choice of:,One 60-Minute Acupuncture Session,Two 60-Minute Acupuncture Sessions",The Healer's Way,"Limited Time Remaining!,60+ viewed today,5 Ratings",One or Two 60-Minute Acupuncture Sessions at The Healer's Way (Up to 71% Off),Midtown Manhattan,New York,5 Ratings,https://www.groupon.com/deals/the-healers-way-2
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,$28 for two hours of all-you-can-eat sushi, sashimi, and teriyaki dinner with two beers, wine, or sake ($60 value),See,here for the full menu,Nori: From Sea to Sushi,An edible paper chock-full of nutrients, nori makes a long journey from the ocean to the sushi bar. Learn what holds your california roll together with Groupon’s guide to this sensational seaweed.,Sushi is common enough today that most people recognize nori, the dark-green or purple seaweed paper that encases each roll’s ingredients. Not only does nori keep sushi from falling apart, it adds a dose of vitamins and minerals including calcium, iron, and potassium to each bite.,In the past, farmers simply plucked naturally grown algae from the sea, cleaned off all the mermaid hairs, and dried it into nori. Today, its life cycle begins in a building that may resemble a swimming pool or bathhouse at first glance: a big, sunny seedling center lined with wide, shallow tanks of seawater. Each tank is lined with oyster shells, which act as mineral-rich food for Porphyra spores. After they’ve been feeding and growing for about five months, it’s time to seed the nets. Rotating drums are wound with synthetic nets, then spun through the tanks for 20–60 minutes to become saturated with spores.,At that point, the operation moves to the sea, where the nets are attached to bamboo poles to continue their life and grow into long, ragged pennants amid the tides. Once harvested, the plants are washed, ground into a pulp, and flattened into sheets. Finally, the sheets are toasted, graded, and readied for consumption, either as the partly rehydrated casing around sushi rolls or by themselves for a snack as healthy and crunchy as toasted Flintstones vitamins.",Kikoo Sushi,"Limited Time Remaining!,550+ viewed today,3,827 Ratings","Two Hours of All-You-Can-Eat Sushi, Sashimi & Teriyaki Dinner with Drinks at Kikoo Sushi (Up to 53% Off)",New York,New York,"3,827 Ratings",https://www.groupon.com/deals/kikoo-sushi
"Local,Health & Fitness,Vision","What You'll Get,The Deal,$25 for a contact-lens exam, pair of trial lenses, and 10% off contact-lens purchase ($175 value)",Cohen's Fashion Optical - West 34th St.,"Limited Time Remaining!,60+ viewed today,493 Ratings",$25 for Contact-Lens-Exam Package at Cohen's Fashion Optical ($175 Value),Cohen's Fashion Optical- W. 34th St.,New York,493 Ratings,https://www.groupon.com/deals/cohen-s-fashion-optical-west-34th-st-1
"Local,Beauty & Spas,Massage","What You'll Get,Poor posture can project a lack of confidence, which is why only a small fraction of Fortune 500 CEOs are camels. Straighten up with this voucher.,$29 for a Massage and Chiropractic Package ($325 Value),Package includes:,One-hour Massage (includes Dress and Undress time),15-Minute Chiropractic Stress Exam,10-Minute Computerized Tension and Posture Exam",Better Body Solutions,"Limited Time Remaining!,150+ viewed today,1,864 Ratings",$29 for a 60-Minute Table Massage and Chiropractic Package at Better Body Solutions ($325 Value),Midtown,New York,"1,864 Ratings",https://www.groupon.com/deals/better-body-solutions-3
"Local,Beauty & Spas,Nail Salons,No-Chip / Gel Mani Pedis","What You'll Get,Choose Between Two Options,$23 for a Shellac manicure (a $40 value),$38.50 for a Shellac manicure and regular pedicure (a $64 value),See Vada Spa’s other deals:,Swedish massage packages,Chocolate Brazilian waxes,VelaShape III treatments,Tattoo removal,Haircut and color packages,Nonsurgical fat-reduction treatments",Vada Spa,"Limited Time Remaining!,Selling fast!,3,554 Ratings",Shellac Manicure with Optional Pedicure at Vada Spa (Up to 42% Off),Downtown Manhattan,New York,"3,554 Ratings",https://www.groupon.com/deals/vada-spa-4
"Local,Health & Fitness,Gyms,Zumba","What You'll Get,Choose Between Two Options,$39 for 5 Zumba Dance Classes,$69 for 10 Zumba Dance Classes",Zumba Kam at Dance Sport,"Limited Time Remaining!,40+ viewed today,99 Ratings",Up to 66% Off Zumba Dance Classes from Zumba Kam at Dance Sport,Dance Sport,New York,99 Ratings,https://www.groupon.com/deals/zumba-kam-the-ball-ny
"Local,Things To Do,Kids Activities,Arcades","What You'll Get,Choose Between Two Options,$15.50 for $30 worth of arcade play,$103 for a two-hour child’s birthday party for up to 10 with unlimited arcade play ($249 value),Birthday party option includes:,Two-hours of complimentary game play for 6-10 children; games will not dispense tickets during duration of free game play,200 prize tickets per child,One pizza that serves ten,One 64-ounce bottle of soda,Paper plates, cups, and napkins,One table and chair; guests are welcome to bring additional chairs, tables, and outside food",Chinatown Fair,"Limited Time Remaining!,200+ viewed today,661 Ratings",Arcade Play or Two-Hour Child's Birthday Party for Up to 10 at the Chinatown Fair (Up to 59% Off),Chinatown Fair Video Arcade,New York,661 Ratings,https://www.groupon.com/deals/chinatown-fair
"Local,Health & Fitness,Gyms,Fitness Classes","What You'll Get,Choose from Three Options,$49 for one month of unlimited hot yoga classes ($210 value),$45 for 5 hot yoga classes ($115 value),$99 for 10 hot yoga classes ($210 value),See the,schedule",Yoga & Fitness Herald Square,"Limited Time Remaining!,150+ viewed today,702 Ratings",5 or 10 Hot Yoga Classes or One Month of Unlimited Classes at Yoga & Fitness Herald Square (Up to 77% Off),Garment District,New York,702 Ratings,https://www.groupon.com/deals/bikram-yoga-herald-square
"Local,Food & Drink,Restaurants,American Restaurants","What You'll Get,Choose Between Two Options,$12 for $20 worth of food and drink, valid Monday–Friday,$12 for $20 worth of food and drink, valid Saturday–Sunday,Click here to see the menu,This Groupon is only valid at the 14th St. location in New York.",IHOP ,"Limited Time Remaining!,Selling fast!,1,287 Ratings",Breakfast Food and Drinks at IHOP (40% Off),IHOP,New York,"1,287 Ratings",https://www.groupon.com/deals/ihop-617
"Local,Beauty & Spas,Brows & Lashes,Eyebrow Threading","What You'll Get,Choose Between Two Options,$5 for one eyebrow threading or waxing session ($9 value),$12 for three eyebrow threading or waxing sessions ($27 value)",YUVA Threading Salon,"Limited Time Remaining!,20+ viewed today,87 Ratings",One or Three Eyebrow Threading or Waxing Sessions at YUVA Threading Salon (Up to 56% Off),Upper East Side,New York,87 Ratings,https://www.groupon.com/deals/yuva-threading
"Local,Health & Fitness,Gyms,Fitness Classes","What You'll Get,Choose from Three Options,$79 for 5 aerial, pole or flexibility classes ($160 value),$115 for 10 cross-training classes ($230 value),$89 for 3 aerial, pole classes or flexibility classes and 3 cross-training classes ($186 value),Click here to view class descriptions and a schedule",Body & Pole,"Limited Time Remaining!,200+ viewed today,135 Ratings","Aerial, Pole, and Cross-Training Classes at Body & Pole (Up to 52% Off). Three Options Available.",Body & Pole,New York,135 Ratings,https://www.groupon.com/deals/body-pole
"Local,Things To Do,Sports & Outdoors,Cycling","What You'll Get,Choose from Four Options,$10 for 2-hour bike rental for one ($20 value),$15.50 for 4-hour bike rental for one ($30 value),$18.50 for 2-hour bike rental for two ($40 value),$26 for 4-hour bike rental for two ($60 value)",Central Park Sightseeing,"Limited Time Remaining!,150+ viewed today,2,861 Ratings",Two- or Four-Hour Rental of One or Two Bikes from Central Park Sightseeing Bike Rental (Up to 57% Off),Midtown East,New York,"2,861 Ratings",https://www.groupon.com/deals/central-park-sightseeing-6
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choice of:,Exfoliation and Extraction Facial,60-Minute Anti-Aging Diamond Facial,Full Back Facial",Waxing Studio NYC,"Limited Time Remaining!,20+ viewed today,1,529 Ratings",Facials at Waxing Studio NYC (Up to 51% Off). Three Options Available.,Midtown Manhattan,New York,"1,529 Ratings",https://www.groupon.com/deals/waxing-studio-nyc-3
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choose from Four Options,$13 for one bikini wax ($29 value),$35 for three bikini waxes ($87 value),$27 for one Brazilian wax ($69 value),$75 for three Brazilian waxes ($207 value)",Pro Skincare & Day Spa,"Limited Time Remaining!,40+ viewed today,703 Ratings",One or Three Bikini or Brazilian Waxes at Pro Skincare & Day Spa (Up to 64% Off),New York,New York,703 Ratings,https://www.groupon.com/deals/pro-skincare-and-day-spa
"Local,Things To Do,Sports & Outdoors,Cycling","What You'll Get,Choose from Three Options,$10 for a two-hour bike rental ($20 value),$15.50 for a four-hour bike rental ($30 value),$20.50 for a full-day bike rental ($40 value)",NYC Bike Rental,"Limited Time Remaining!,70+ viewed today,536 Ratings",Two- or Four-Hour or Full-Day Central Park Bike Rental from NYC Bike Rental  (50% Off),Central Park,New York,536 Ratings,https://www.groupon.com/deals/nyc-bike-rental
"Local,Food & Drink,Restaurants,Pizza","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Frankie Boy's Pizza,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,10% Cash Back After That",20% Cash Back at Frankie Boy's Pizza,Midtown Manhattan,New York,1 Ratings,https://www.groupon.com/deals/frankie-boys-pizza
"Local,Food & Drink,Restaurants,Steakhouse","What You'll Get,Choose Between Two Options,$36 for $60 worth of steakhouse fare for two people,$69 for $120 worth of steakhouse fare for four or more people,This deal can only be used for dinner.",212 Steakhouse,"Limited Time Remaining!,Selling fast!,1,855 Ratings",Modern Steakhouse Fare at 212 Steakhouse   (Up to 42% Off). Two Options Available.,Midtown East,New York,"1,855 Ratings",https://www.groupon.com/deals/212-steakhouse-1
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 25% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Madangsui,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 25% Cash Back,10% Cash Back After That",25% Cash Back at Madangsui,Madangsui,New York,"1,370 Ratings",https://www.groupon.com/deals/madangsui-2
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,$36 for dinner and drinks for two (a $72 total value),Two drinks (a $22 value),Two appetizers (a $10 value),Two soups or salads (a $10 value),Two entrees or special rolls (a $30 value),See the,prix fixe menu",Amaze,"Limited Time Remaining!,80+ viewed today,439 Ratings",$36 for Asian Fusion Dinner and Drinks for Two at Amaze ($72 Value),Midtown East,New York,439 Ratings,https://www.groupon.com/deals/amaze
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,$50 Worth of Food and Desserts",Qi Thai Grill,"Limited Time Remaining!,100+ viewed today,1,906 Ratings",$25 for $50 Worth of Authentic Thai Cuisine at Qi Thai Grill,Williamsburg,New York,"1,906 Ratings",https://www.groupon.com/deals/qi-1
"Local,Food & Drink,Restaurants,Cuban Restaurants","What You'll Get,Choose Between Four Options,$17.50 for $30 worth of Cuban dinner for two, redeemable Sunday-Thursday,$33.50 for $60 worth of Cuban dinner for four, redeemable Sunday-Thursday,$19.50 for $30 worth of Cuban dinner for two, redeemable any day of the week,$36.50 for $60 worth of Cuban dinner for four, redeemable any day of the week,See the,dinner menu,This Groupon is not valid for lunch. One entree must be purchased per person.",Mambo Tea House,"Limited Time Remaining!,150+ viewed today,2,058 Ratings",Cuban Dinner for Two or Four at Mambo Tea House (Up to 44% Off),Mambo Tea House,New York,"2,058 Ratings",https://www.groupon.com/deals/mambo-tea-house-4
"Local,Food & Drink,Restaurants,Mexican Restaurants","What You'll Get,Choice of:,$30 Value for Two or More,$60 Value for Four or More",Tequila Chito,"Limited Time Remaining!,80+ viewed today,137 Ratings",Mexican Cuisine at Tequila Chito (Up to 50% Off),Midtown Manhattan,New York,137 Ratings,https://www.groupon.com/deals/tequilas-mexican-grill
"Local,Food & Drink,Restaurants,American Restaurants","What You'll Get,Choose from Two Options,$12 for $20 towards food for two or more people ($20 value),$20 for $40 towards food for four or more people ($40 value),Food Cravings: Giving in to Science,You never know when a hankering is going to strike. Feed your need for knowledge with Groupon’s study of food cravings.,For years, scientists believed that food cravings were linked to nutrient deficiencies—a taste for steak might signify a lack of iron, for instance. But recent research has uncovered a different theory. A functional MRI study cited by the,Wall Street Journal,suggested that food cravings are more similar to an addiction, triggered by reward centers in the brain that relate to memory and emotion. Answering to the craving can trigger the release of neurotransmitters including endorphins (which produce feelings of well-being) and dopamine (which produces the sense of receiving a reward), explaining why we turn to less-than-wholesome “comfort” foods in times of stress.,Nutritionists would love it if we only craved broccoli seasoned with calcium chews, but the reality is that most hankerings tend toward the unhealthy. A survey of college students at an Ontario university found that 97% of women experienced occasional intense cravings, often for carb-loaded foods such as chocolate, donuts, and chips. In the same survey, 68% of men also reported food cravings, though usually for high-fat proteins such as burgers, steaks, and pizza. As you might expect from the “comfort” theory of food cravings, the results of such surveys change drastically depending on the culture.,Although humans may not normally crave foods based on nutritional need, it is true that weightlifters seem to actively crave muscle-building carbs and proteins such as potatoes and pasta. That’s because the body can adjust its cravings to be able to perform everyday activities more efficiently. Sports scientist Dr. David Stensel and his colleagues found that runners crave hydrating fruits and cold-water swimmers crave fatty foods that will provide protective padding, just as professional Scrabble players crave alphabet soup.",Avenue Diner,"Limited Time Remaining!,70+ viewed today,201 Ratings","Breakfast, Lunch, and Dinner at Avenue Diner (Up to 50% Off). Two Options Available.",Midtown East,New York,201 Ratings,https://www.groupon.com/deals/avenue-diner
"Local,Food & Drink,Restaurants,American Restaurants","What You'll Get,The Deal,$20 for $40 worth of modern comfort food,See the,dinner menu",The Regal,"Limited time remaining!,Up to 50% Off,1,666 Ratings",$20 for $40 Worth of Modern Comfort Food at The Regal,East Williamsburg,New York,"1,666 Ratings",https://www.groupon.com/deals/the-regal-3
"Local,Food & Drink,Restaurants,Pizza","What You'll Get,After purchasing this deal, you will need to visit the website listed on your voucher to complete redemption.,Choose from Three Options,$12.99 for one large-pizza meal (up to $40.50 value),One large pizza with up to five toppings,Choice of breadsticks or garlic knots,$19.99 for a two-pizza meal (up to $68.50 value),Two large pizzas with up to five toppings,Choice of breadsticks or garlic knots,$29.99 for a three-pizza meal (up to $93.50 value),Three large pizzas with up to five toppings,Breadsticks,2-liter bottle of soda",Papa John's,"Limited Time Remaining!,100+ viewed today,272 Ratings","One, Two, or Three Large Pizzas with Up to Five Toppings and Sides at Papa John's (Up to 71% Off)",Papa John's Store #3505,New York,272 Ratings,https://www.groupon.com/deals/papa-john-s-329
"Local,Food & Drink,Groceries & Markets","What You'll Get,After purchasing this deal, you will need to visit the website listed on your voucher to complete redemption.,Choose Between Two Options,$30 for a new One-Year Sam’s Club Savings Membership package ($55 value),With the purchase of this Sam’s Club,Savings Membership,package, you’ll receive:,One-year Sam’s Club Savings membership ($45 value),Complimentary membership card for a spouse or other household member,$10 e-gift card valid online or in-club. Allow 5-7 days for delivery of e-gift card.,$45 for a new One-Year Sam’s Club Savings Membership + Instant Savings package ($202.30 value),With the purchase of this Sam’s Club,Savings Membership,package, you’ll receive:,One-year Sam’s Club Savings membership ($45 value),Complimentary membership card for a spouse or other household member,$20 e-gift card valid online or in-club. Allow 5-7 days for delivery of e-gift card.,More than $135 in Instant Savings* offers loaded directly to the membership card within 72 hours of activating membership,Offer valid for new Sam’s Club Members only; not valid for those with a current membership or those who were Sam’s Club members less than 6 months prior to October 1, 2017.,If you need to check your renewal date, call 1.888.746.7726 and choose option #2, then option #1. Please have your membership card or statement on hand.,Offer valid for U.S. Sam’s Clubs only; not valid in Puerto Rico locations.,*Instant Savings offers are subject to availability and are valid in U.S. clubs with a U.S. membership, excluding Puerto Rico. Prices shown are pre-tax amounts. State and local laws may require sales tax to be charged on the pre-discounted price. For Club Pickup orders not paid for online, savings will be based on and limited to the Instant Savings offers available to the paying member on the date of in-club payment. No money shall be returned to the member if the price of the item falls below zero after applying the Instant Savings discount. If more than one Instant Savings offer is available for an item, the highest-value discount will be applied. Multiple offers will not be combined for any item.  Visit SamsClub.com/termsandconditions or see a Club Associate for additional details. Instant Savings expire 30 days after the membership is activated.,Valid at over 640 U.S. Sam’s Club locations.,Find a location near you,Frequently asked questions",Sam's Club,"Limited Time Remaining!,250+ viewed today,49,414 Ratings",One-Year Sam's Club Membership with $10 or $20 e-Gift Card (Up to 78% Off),Multiple Locations,New York,"49,414 Ratings",https://www.groupon.com/deals/sam-s-club-883-north-jersey
"Local,Personal Services,Electronics Repair,Phone Repair","What You'll Get,Choice of:,Screen and LCD Repair for iPhone 7,Screen and LCD Repair for iPhone 7 Plus,Screen and LCD Repair for iPhone 6S,Screen and LCD Repair for iPhone 6S Plus,Screen and LCD Repair for iPhone 6,Screen and LCD Repair for iPhone 6 Plus,Screen and LCD Repair for iPhone 5, 5S, 5C or SE,$30 Value for Screen Repair or Services for IPAD 2 / 3 / 4 / MINI / AIR,One-year warranty on all parts and repairs. Your iPhone will be working as perfectly as a new one.",Fixers Lab,"Limited Time Remaining!,30+ viewed today,9 Ratings",Screen and LCD Repair for iPhones and iPads at Fixers Lab,New York,New York,9 Ratings,https://www.groupon.com/deals/fixers-lab
